Publisher,Image Url,Title,Description,Date,Tag,p1.coor_x,p1.coor_y,p1.title,p1.price,p1.url,p2.coor_x,p2.coor_y,p2.title,p2.price,p2.url
addict.attitude,addict.attitude/1.jpg,,The uneven cut of the blazer is tailored with specially processed linen cotton.,05/18/2019,#blazer|#linencotten,0,0,"""A.A FW18 '癮者態度' BLAZER""",$150.00|$299.00,https://addict-attitude.myshopify.com/products/a-a-fw18-suit-jacket,,,,,
addict.attitude,addict.attitude/2.jpg,,The uneven cut of the blazer is tailored with specially processed linen cotton.,05/18/2019,#blazer|#linencotten,0,0,"""A.A FW18 '癮者態度' BLAZER""",$150.00|$299.00,https://addict-attitude.myshopify.com/products/a-a-fw18-suit-jacket,,,,,
addict.attitude,addict.attitude/3.jpg,,The uneven cut of the blazer is tailored with specially processed linen cotton.,05/19/2019,#blazer|#linencotten,0,0,"""A.A FW18 '癮者態度' BLAZER""",$150.00|$299.00,https://addict-attitude.myshopify.com/products/a-a-fw18-suit-jacket,,,,,
addict.attitude,addict.attitude/4.jpg,,Specially processed denim with ripped details,05/19/2019,#denim,0,0,A.A FW18 SPECIAL WASHED PANTS W/WHITE,$199.00,https://addict-attitude.myshopify.com/products/a-a-fw18-special-washed-pants-w-white,0,0,A.A FW18 TEE IN GREY,$49.00|$89.00,https://addict-attitude.myshopify.com/products/copy-of-a-a-fw18-tee-in-grey
addict.attitude,addict.attitude/5.jpg,,Specially processed denim with ripped details,05/19/2019,#denim,0,0,A.A FW18 SPECIAL WASHED PANTS W/WHITE,$199.00,https://addict-attitude.myshopify.com/products/a-a-fw18-special-washed-pants-w-white,0,0,A.A FW18 TEE IN GREY,$49.00|$89.00,https://addict-attitude.myshopify.com/products/copy-of-a-a-fw18-tee-in-grey
addict.attitude,addict.attitude/6.jpg,,Specially processed denim with ripped details,05/19/2019,#denim,0,0,A.A FW18 SPECIAL WASHED PANTS W/WHITE,$199.00,https://addict-attitude.myshopify.com/products/a-a-fw18-special-washed-pants-w-white,,,,,
addict.attitude,addict.attitude/7.jpg,,Time time i think is forreal,05/19/2019,#slim,0,0,S/S 19 #5 REFLECTIVE LONG SKRT,$129.00,https://addict-attitude.myshopify.com/products/addict-attitude-s-s19-reflective-long-skrt-preorder,,,,,
addict.attitude,addict.attitude/8.jpg,,Sometimes you gotta close a door to open a window ,05/19/2019,#coat,0,0,S/S 19 #6 RIPPED HOODY,$166.00,https://addict-attitude.myshopify.com/products/addict-attitude-s-s19-6-ripped-hoody-preorder,,,,,
,fangzheng/1.jpg,,,,,,,,,,,,,,
,fangzheng/2.jpg,,,,,,,,,,,,,,
,xiaotong/1.jpg,,,,,,,,,,,,,,
